x,z,error
-0.52,0.01,0.00011830986677364847
-0.5,0.01,0.00010711400087898373
-0.48,0.01,0.0001016756733525481
-0.45999999999999996,0.01,0.00010237075862277628
-0.43999999999999995,0.01,0.00010892721051678393
-0.42000000000000004,0.01,0.00011999614031363156
-0.4,0.01,0.00013408283501841273
-0.38,0.01,0.00015012059008309955
-0.36,0.01,0.00016728519964465403
-0.33999999999999997,0.01,0.00018495925914086914
-0.31999999999999995,0.01,0.00020287203466314794
-0.29999999999999993,0.01,0.00022049199295508083
-0.28,0.01,0.0002377588399188411
-0.26,0.01,0.000254283880928866
-0.24,0.01,0.0002698937403374234
-0.21999999999999997,0.01,0.0002844813645154443
-0.19999999999999996,0.01,0.00029771913850986086
-0.17999999999999994,0.01,0.0003094491699170271
-0.16000000000000003,0.01,0.00031944127332384056
-0.14,0.01,0.0003276872038162744
-0.12,0.01,0.00033396627904550734
-0.09999999999999998,0.01,0.00033796851306164613
-0.07999999999999996,0.01,0.0003398787685547956
-0.05999999999999994,0.01,0.0003393633893894447
-0.040000000000000036,0.01,0.0003365517913710398
-0.020000000000000018,0.01,0.0003312392599796282
0.0,0.01,0.0003236011676553371
0.020000000000000018,0.01,0.000313666152143478
0.040000000000000036,0.01,0.00030126367873607485
0.06000000000000005,0.01,0.0002866584112510534
0.08000000000000007,0.01,0.0002698205589053851
0.10000000000000009,0.01,0.00025101995451158403
0.1200000000000001,0.01,0.00023029075923362648
0.14000000000000012,0.01,0.00020780037147135081
0.15999999999999992,0.01,0.0001835498651450369
0.17999999999999994,0.01,0.0001578939456636721
0.19999999999999996,0.01,0.00013092701934064942
0.21999999999999997,0.01,0.00010287983735580113
0.24,0.01,7.39041136707199e-05
0.26,0.01,4.4162386825655114e-05
0.28,0.01,1.3812105686761754e-05
0.30000000000000004,0.01,1.7086377468011856e-05
0.32000000000000006,0.01,4.796902785100867e-05
0.3400000000000001,0.01,7.911053578105293e-05
0.3600000000000001,0.01,0.00011005179407867405
0.3800000000000001,0.01,0.00014076758665976496
0.40000000000000013,0.01,0.0001711355092431099
0.41999999999999993,0.01,0.0002008572050110291
0.43999999999999995,0.01,0.00023002065789210017
0.45999999999999996,0.01,0.00025810435524350176
0.48,0.01,0.00028529022678865605
0.5,0.01,0.00031137137031579936
0.52,0.01,0.00033628901579747057
0.54,0.01,0.0003597953426605295
0.56,0.01,0.0003817931190224046
0.5800000000000001,0.01,0.0004020915545857125
0.6000000000000001,0.01,0.0004206061569662326
0.6200000000000001,0.01,0.0004371894808510315
0.6400000000000001,0.01,0.0004516194036559813
0.6600000000000001,0.01,0.0004640203133320408
0.6799999999999999,0.01,0.000474012424533813
0.7,0.01,0.00048160219552038057
0.72,0.01,0.00048677255289811115
0.74,0.01,0.000489377733942379
0.76,0.01,0.000489205348735115
0.78,0.01,0.00048662889490406976
0.8,0.01,0.00048156998452973145
0.8200000000000001,0.01,0.0004741332279895959
0.8400000000000001,0.01,0.0004646642553557247
0.8600000000000001,0.01,0.00045346259065125877
0.8800000000000001,0.01,0.0004411136115864663
0.9000000000000001,0.01,0.0004282225481528927
0.9199999999999999,0.01,0.00041599667332587083
0.94,0.01,0.00040539850589052273
0.96,0.01,0.00039806003559391935
0.98,0.01,0.0003955864546776197
1.0,0.01,0.0003996079096599501
-1.0,0.02,0.0005742067406117965
-0.98,0.02,0.000554570166850938
-0.96,0.02,0.0005357584284332778
-0.94,0.02,0.0005176605585222986
-0.92,0.02,0.0004996047437898038
-0.9,0.02,0.0004816584555981141
-0.88,0.02,0.0004634099180237456
-0.86,0.02,0.00044475924158146867
-0.84,0.02,0.0004255013471767388
-0.8200000000000001,0.02,0.0004057068404991123
-0.8,0.02,0.0003851832743537268
-0.78,0.02,0.0003640474793804452
-0.76,0.02,0.00034225649886857805
-0.74,0.02,0.00032000442863098626
-0.72,0.02,0.000297227141875123
-0.7,0.02,0.0002743004879255786
-0.6799999999999999,0.02,0.00025114100959068266
-0.6599999999999999,0.02,0.00022831106713958556
-0.64,0.02,0.00020600340760810665
-0.62,0.02,0.00018464904514137393
-0.6,0.02,0.00016470096062066742
-0.5800000000000001,0.02,0.00014671556412202804
-0.56,0.02,0.00013148805992935634
-0.54,0.02,0.00012005070210519655
-0.52,0.02,0.00011304393884056088
-0.5,0.02,0.00011097620033158517
-0.48,0.02,0.000113549513107051
-0.45999999999999996,0.02,0.00012032687234897218
-0.43999999999999995,0.02,0.00013001455273046954
-0.42000000000000004,0.02,0.00014181559757847457
-0.4,0.02,0.00015469599664005203
-0.38,0.02,0.00016840350222113045
-0.36,0.02,0.0001823465506181586
-0.33999999999999997,0.02,0.00019641513038785155
-0.31999999999999995,0.02,0.00021027764501952166
-0.29999999999999993,0.02,0.00022378706765620025
-0.28,0.02,0.00023671262736990446
-0.26,0.02,0.0002490438658675045
-0.24,0.02,0.00026055408776333585
-0.21999999999999997,0.02,0.00027125414035059835
-0.19999999999999996,0.02,0.0002807671779032273
-0.17999999999999994,0.02,0.0002891375125258804
-0.16000000000000003,0.02,0.00029611592491377307
-0.14,0.02,0.0003015641335556125
-0.12,0.02,0.00030537295857385597
-0.09999999999999998,0.02,0.0003073867584006531
-0.07999999999999996,0.02,0.000307645946754553
-0.05999999999999994,0.02,0.00030588908849611766
-0.040000000000000036,0.02,0.000302284767864796
-0.020000000000000018,0.02,0.00029653487814690186
0.0,0.02,0.00028886264031051894
0.020000000000000018,0.02,0.0002790644902222455
0.040000000000000036,0.02,0.00026727237000402
0.06000000000000005,0.02,0.0002535729945867632
0.08000000000000007,0.02,0.00023812002090305924
0.10000000000000009,0.02,0.0002208762376554849
0.1200000000000001,0.02,0.00020197652823771188
0.14000000000000012,0.02,0.00018151844655223516
0.15999999999999992,0.02,0.00015971182846367694
0.17999999999999994,0.02,0.0001367065667512789
0.19999999999999996,0.02,0.00011244471547646579
0.21999999999999997,0.02,8.733777726486692e-05
0.24,0.02,6.151751208484701e-05
0.26,0.02,3.490137107046309e-05
0.28,0.02,7.809786419600836e-06
0.30000000000000004,0.02,1.9548790797733516e-05
0.32000000000000006,0.02,4.716561114583085e-05
0.3400000000000001,0.02,7.47152416494297e-05
0.3600000000000001,0.02,0.00010234339646608746
0.3800000000000001,0.02,0.00012947686878003357
0.40000000000000013,0.02,0.00015631375623905471
0.41999999999999993,0.02,0.00018259724165002174
0.43999999999999995,0.02,0.0002082608833087356
0.45999999999999996,0.02,0.00023301509601444741
0.48,0.02,0.00025697657514266517
0.5,0.02,0.0002797806015735318
0.52,0.02,0.0003014309243153416
0.54,0.02,0.00032167090918107247
0.56,0.02,0.00034039136068879106
0.5800000000000001,0.02,0.00035766871248290184
0.6000000000000001,0.02,0.0003729614862751907
0.6200000000000001,0.02,0.0003865078698542654
0.6400000000000001,0.02,0.00039785537967212807
0.6600000000000001,0.02,0.0004070627052943215
0.6799999999999999,0.02,0.00041383388015200847
0.7,0.02,0.0004181759551533754
0.72,0.02,0.00041994210821617937
0.74,0.02,0.0004189690011769748
0.76,0.02,0.0004152726450003675
0.78,0.02,0.00040879944970212845
0.8,0.02,0.0003995827052886268
0.8200000000000001,0.02,0.0003877770487508695
0.8400000000000001,0.02,0.00037337504841171583
0.8600000000000001,0.02,0.0003569677607811205
0.8800000000000001,0.02,0.0003389372379731499
0.9000000000000001,0.02,0.00032002474937402694
0.9199999999999999,0.02,0.0003013466709316289
0.94,0.02,0.0002847690381198202
0.96,0.02,0.0002722388753962162
0.98,0.02,0.00026653443203508384
1.0,0.02,0.00027014452774423215
-1.0,0.03,0.0004697152859670844
-0.98,0.03,0.00045648220197810815
-0.96,0.03,0.00044387177814099075
-0.94,0.03,0.00043132928265290807
-0.92,0.03,0.00041859951025021867
-0.9,0.03,0.0004052969387078817
-0.88,0.03,0.00039149697594835384
-0.86,0.03,0.00037673429266059426
