epoch,Loss_u,Loss_b,Loss_i,Loss_p,Total_Loss
1,0.6475099325180054,2.485564947128296,0.6472911834716797,0.2060476541519165,3.9864134788513184
20,0.6331340074539185,2.426880121231079,0.6399474143981934,0.20807938277721405,3.908041000366211
40,0.618437647819519,2.3661117553710938,0.6297047138214111,0.21535196900367737,3.829606294631958
60,0.6043692827224731,2.3060450553894043,0.6180126070976257,0.22518794238567352,3.753614902496338
80,0.5910401344299316,2.24631404876709,0.6059587001800537,0.23561492562294006,3.6789278984069824
100,0.5781904458999634,2.1863648891448975,0.5936239957809448,0.24657943844795227,3.6047589778900146
120,0.5656074285507202,2.125800371170044,0.5810142755508423,0.2581250071525574,3.5305469036102295
140,0.5531491041183472,2.064363956451416,0.5681238174438477,0.27023690938949585,3.455873966217041
160,0.5407190322875977,2.0018842220306396,0.5549543499946594,0.2828562259674072,3.380413770675659
180,0.5282372236251831,1.9382308721542358,0.5415112376213074,0.29592716693878174,3.3039064407348633
200,0.5156351327896118,1.8733080625534058,0.5277981758117676,0.30939561128616333,3.2261369228363037
220,0.5028576850891113,1.8070597648620605,0.5138170719146729,0.3231934607028961,3.146928071975708
240,0.48986324667930603,1.739471197128296,0.49957185983657837,0.3372272253036499,3.066133499145508
260,0.4766244888305664,1.6705766916275024,0.4850725829601288,0.3513711392879486,2.983644723892212
280,0.4631316661834717,1.6004667282104492,0.4703373908996582,0.36546167731285095,2.899397373199463
300,0.449395090341568,1.5292906761169434,0.4553946256637573,0.3792981803417206,2.8133785724639893
320,0.43544143438339233,1.457252025604248,0.4402849078178406,0.3926558494567871,2.7256343364715576
340,0.4213081896305084,1.38460111618042,0.4250602126121521,0.40530356764793396,2.63627290725708
360,0.407039612531662,1.3116273880004883,0.4097807705402374,0.4170157313346863,2.5454635620117188
380,0.3926861882209778,1.2386540174484253,0.39451199769973755,0.42757999897003174,2.453432083129883
400,0.3783038258552551,1.1660319566726685,0.37932145595550537,0.43680232763290405,2.360459566116333
420,0.3639530539512634,1.0941352844238281,0.3642768859863281,0.44451186060905457,2.2668771743774414
440,0.3496983051300049,1.0233526229858398,0.34944531321525574,0.45056554675102234,2.1730618476867676
460,0.3356063961982727,0.9540777206420898,0.3348918855190277,0.45485150814056396,2.079427480697632
480,0.3217448890209198,0.8866997361183167,0.32067883014678955,0.4572930932044983,1.9864165782928467
500,0.30818039178848267,0.8215904831886292,0.3068644404411316,0.45785123109817505,1.894486427307129
520,0.29497629404067993,0.7590923309326172,0.2935013771057129,0.45652568340301514,1.8040956258773804
540,0.28219106793403625,0.6995055079460144,0.28063496947288513,0.4533540904521942,1.7156857252120972
560,0.26987597346305847,0.6430763006210327,0.26830148696899414,0.44840875267982483,1.6296625137329102
580,0.25807395577430725,0.589988648891449,0.2565266788005829,0.44179242849349976,1.5463817119598389
600,0.24681790173053741,0.5403578281402588,0.24532407522201538,0.4336339831352234,1.4661338329315186
620,0.23612958192825317,0.49422773718833923,0.23469388484954834,0.42408281564712524,1.3891339302062988
640,0.22601890563964844,0.451574444770813,0.22462163865566254,0.41330426931381226,1.3155193328857422
660,0.21648414433002472,0.4123150706291199,0.21507802605628967,0.40147292613983154,1.2453501224517822
680,0.20751231908798218,0.3763221800327301,0.20601977407932281,0.38876643776893616,1.17862069606781
700,0.19908109307289124,0.34344032406806946,0.19739195704460144,0.3753599524497986,1.1152732372283936
720,0.19116082787513733,0.3135004937648773,0.18913282454013824,0.3614227771759033,1.055216908454895
740,0.18371686339378357,0.28633177280426025,0.1811794489622116,0.3471165895462036,0.9983446598052979
760,0.1767122894525528,0.2617643475532532,0.17347417771816254,0.33259713649749756,0.9445479512214661
780,0.17010973393917084,0.2396334707736969,0.1659696400165558,0.3180156946182251,0.893728494644165
800,0.16387325525283813,0.2197776883840561,0.1586315929889679,0.3035217523574829,0.8458043336868286
820,0.15796959400177002,0.2020396888256073,0.15144048631191254,0.2892640233039856,0.8007137775421143
840,0.1523692011833191,0.18626588582992554,0.14439094066619873,0.27539002895355225,0.7584160566329956
860,0.14704716205596924,0.17230650782585144,0.1374906301498413,0.262044221162796,0.718888521194458
880,0.1419832706451416,0.16001641750335693,0.13075798749923706,0.24936401844024658,0.6821216940879822
900,0.1371624916791916,0.1492549329996109,0.12422006577253342,0.23747485876083374,0.6481123566627502
920,0.13257458806037903,0.13988631963729858,0.11790934950113297,0.22648486495018005,0.6168551445007324
940,0.12821365892887115,0.13178019225597382,0.1118612289428711,0.21647951006889343,0.5883345603942871
960,0.12407751381397247,0.12481079995632172,0.10611094534397125,0.20751792192459106,0.5625171661376953
980,0.12016652524471283,0.11885792016983032,0.10069096088409424,0.1996293067932129,0.5393447279930115
1000,0.11648277938365936,0.1138063296675682,0.09562861174345016,0.19281251728534698,0.5187302231788635
1020,0.11302876472473145,0.10954646021127701,0.09094418585300446,0.18703648447990417,0.5005558729171753
1040,0.10980634391307831,0.10597449541091919,0.08664976805448532,0.18224269151687622,0.48467329144477844
1060,0.10681591182947159,0.10299347341060638,0.08274862915277481,0.17834970355033875,0.47090771794319153
1080,0.10405553877353668,0.10051409900188446,0.07923538237810135,0.17525842785835266,0.45906344056129456
