epoch,Loss_u,Loss_b,Loss_i,Loss_p,Total_Loss
1,0.6394157409667969,2.554889440536499,0.6463927626609802,0.04255431145429611,3.8832523822784424
1000,0.102012038230896,0.1017608568072319,0.08284842222929001,0.15964283049106598,0.4462641477584839
2000,0.06307090818881989,0.07369761168956757,0.046422913670539856,0.07848934084177017,0.2616807818412781
3000,0.036797311156988144,0.05788799747824669,0.030190767720341682,0.026480700820684433,0.1513567715883255
4000,0.02767011523246765,0.05422643572092056,0.023033684119582176,0.02677289769053459,0.13170313835144043
5000,0.0189425740391016,0.04202850162982941,0.015280051156878471,0.025724533945322037,0.10197566449642181
6000,0.0020329321268945932,0.0069797458127141,0.0015986100770533085,0.005681070499122143,0.016292359679937363
7000,0.00020435865735635161,0.0007361552561633289,0.00032491408637724817,0.002378962468355894,0.003644390497356653
8000,0.000193956948351115,0.00027616304578259587,0.00021721181110478938,0.0013179921079427004,0.0020053237676620483
9000,8.064057328738272e-05,0.00012066050840076059,9.407599281985313e-05,0.000499245710670948,0.0007946228142827749
10000,1.9077207980444655e-05,3.8645324821118265e-05,2.2648137019132264e-05,0.00014584655582439154,0.00022621723474003375
11000,5.036238690081518e-06,1.6396654245909303e-05,7.4930712798959576e-06,6.455746188294142e-05,9.34834242798388e-05
12000,1.8308353446627734e-06,7.70131100580329e-06,3.829682555078762e-06,3.826511965598911e-05,5.1626950153149664e-05
13000,1.0149947229365353e-06,3.778492555284174e-06,2.3012510155240307e-06,2.8764985472662374e-05,3.585972444852814e-05
14000,7.141300670809869e-07,2.257235109937028e-06,1.5084182223290554e-06,2.264650356664788e-05,2.712628702283837e-05
15000,5.482900746756059e-07,1.5982515151335974e-06,1.0707055935199605e-06,1.811356378311757e-05,2.1330810341169126e-05
16000,4.263405912752205e-07,1.2724199223157484e-06,8.171528520506399e-07,1.4879716218274552e-05,1.739562867442146e-05
17000,3.5892978189622227e-07,1.039915446199302e-06,6.532129077641002e-07,1.2582147064676974e-05,1.4634205399488565e-05
18000,3.0982548082647554e-07,9.080279710360628e-07,5.492387913363928e-07,1.0981808372889645e-05,1.2748900189762935e-05
19000,2.7311872941027104e-07,8.209314046325744e-07,4.766725396621041e-07,9.773604688234627e-06,1.1344327504048124e-05
20000,2.474296820764721e-07,7.592278734591673e-07,4.2438193759153364e-07,8.86468023963971e-06,1.0295720130670816e-05
