epoch,Loss_u,Loss_b,Loss_i,Loss_p,Total_Loss
1,0.7820653915405273,1.553602933883667,0.8317586779594421,0.00810493715107441,3.175532102584839
20,0.06421507894992828,0.0986853688955307,0.05271527171134949,0.10230298340320587,0.31791871786117554
40,0.022279493510723114,0.02504074014723301,0.010622840374708176,0.04250628873705864,0.10044936090707779
60,0.026505857706069946,0.011082997545599937,0.017367355525493622,0.02450091764330864,0.07945713400840759
80,0.01996544376015663,0.012059108354151249,0.011185279116034508,0.022100942209362984,0.0653107687830925
100,0.018338249996304512,0.010989061556756496,0.009380941279232502,0.016352873295545578,0.05506112426519394
120,0.014848384074866772,0.010432306677103043,0.00725138233974576,0.015536759048700333,0.048068832606077194
140,0.012696640565991402,0.00965756457298994,0.005848854314535856,0.015063276514410973,0.043266333639621735
160,0.011159505695104599,0.008766962215304375,0.005022337660193443,0.013952156528830528,0.038900963962078094
180,0.00989861786365509,0.007888794876635075,0.0044298116117715836,0.012571241706609726,0.03478846698999405
200,0.008801974356174469,0.007135378196835518,0.003943192772567272,0.011049846187233925,0.03093039058148861
220,0.007865098305046558,0.006490654777735472,0.003563287667930126,0.00938179437071085,0.02730083465576172
240,0.007040395867079496,0.005902586970478296,0.003243830054998398,0.007709956727921963,0.02389676868915558
260,0.006268566474318504,0.005315764807164669,0.0029311678372323513,0.006200374104082584,0.020715873688459396
280,0.0055148182436823845,0.004680123180150986,0.0025958246551454067,0.004952831659466028,0.01774359680712223
300,0.004777827765792608,0.003977262880653143,0.0022447574883699417,0.003996310289949179,0.014996157959103584
320,0.0040986742824316025,0.00325366435572505,0.001917848247103393,0.0033310363069176674,0.012601222842931747
340,0.003525462467223406,0.0025924541987478733,0.0016477772733196616,0.002942564431577921,0.010708258487284184
360,0.003064210992306471,0.0020417615305632353,0.0014298406895250082,0.0027336159255355597,0.009269429370760918
380,0.002685695420950651,0.0016110484721139073,0.0012435796670615673,0.0025899659376591444,0.008130289614200592
400,0.002358490601181984,0.0012912483653053641,0.0010780603624880314,0.002471564570441842,0.0071993637830019
420,0.002065475797280669,0.0010598038788884878,0.0009306492866016924,0.0023677879944443703,0.006423716899007559
440,0.0018028093036264181,0.0008919419487938285,0.0008007945725694299,0.0022698650136590004,0.005765410605818033
460,0.0015723726246505976,0.0007673603249713778,0.0006890060030855238,0.0021718970965594053,0.005200635641813278
480,0.0013751351507380605,0.000671809131745249,0.0005953150102868676,0.0020718080922961235,0.004714067559689283
500,0.0012092721881344914,0.0005963455769233406,0.0005182697204872966,0.0019698841497302055,0.004293771460652351
520,0.0010712157236412168,0.0005354035529308021,0.00045566330663859844,0.001866678474470973,0.003928961232304573
540,0.0009568175300955772,0.0004853587015531957,0.00040512310806661844,0.0017624800093472004,0.003609779290854931
560,0.0008618048741482198,0.00044370052637532353,0.0003643305681180209,0.0016578701324760914,0.003327706130221486
580,0.0007821446051821113,0.00040856117266230285,0.0003311702166683972,0.0015539622399955988,0.0030758383218199015
600,0.0007143382099457085,0.0003784538130275905,0.00030383249395526946,0.001452205702662468,0.002848830074071884
620,0.0006555276922881603,0.00035220364225097,0.00028084710356779397,0.0013540402287617326,0.002642618492245674
640,0.0006035372498445213,0.00032888446003198624,0.00026106444420292974,0.0012605935335159302,0.0024540796875953674
660,0.000556775601580739,0.0003077913715969771,0.00024362775729969144,0.0011725660879164934,0.0022807607892900705
680,0.0005141390138305724,0.00028839820879511535,0.00022791780065745115,0.0010902461363002658,0.002120701130479574
700,0.0004748726496472955,0.0002703327336348593,0.00021350009774323553,0.0010136081837117672,0.0019723137374967337
720,0.0004384686762932688,0.00025334020028822124,0.00020007757120765746,0.0009424320887774229,0.00183431850746274
740,0.00040457682916894555,0.00023725141363684088,0.0001874478766694665,0.0008764059166423976,0.0017056820215657353
760,0.00037295339279808104,0.00022195688507054,0.00017547333845868707,0.0008151772781275213,0.0015855608507990837
780,0.0003434173995628953,0.0002073824143735692,0.00016407111252192408,0.0007583879632875323,0.0014732589479535818
800,0.00031583529198542237,0.0001934799220180139,0.0001531872112536803,0.0007056946633383632,0.0013681971468031406
820,0.00029010276193730533,0.00018021617142949253,0.00014279091556090862,0.0006567738018929958,0.0012698837090283632
840,0.00026613447698764503,0.00016756400873418897,0.00013287273759488016,0.0006113263661973178,0.0011778975604102015
860,0.0002438576630083844,0.00015550735406577587,0.00012342684203758836,0.0005690907710231841,0.001091882586479187
880,0.00022320373682305217,0.00014403328532353044,0.00011445714335422963,0.0005298377363942564,0.0010115319164469838
900,0.00020410834986250848,0.0001331301173195243,0.00010596599895507097,0.0004933750024065375,0.0009365794830955565
920,0.000186504126759246,0.00012279108341317624,9.796133963391185e-05,0.0004595381615217775,0.0008667947258800268
940,0.00017031958850566298,0.00011301481572445482,9.044063335750252e-05,0.0004281895817257464,0.0008019646047614515
