epoch,Loss_u,Loss_b,Loss_i,Loss_p,Loss_g,Total_Loss
1,2.7018096446990967,5.019077777862549,2.641691207885742,0.5245991945266724,1.2568812370300293,12.144058227539062
30,0.06950125843286514,0.10184597223997116,0.03766584023833275,0.01305793784558773,0.02816508337855339,0.2502360939979553
60,0.030596967786550522,0.011613692156970501,0.024779096245765686,0.0081501305103302,0.029415834695100784,0.10455572605133057
90,0.022042308002710342,0.010703586973249912,0.01641150191426277,0.0027672266587615013,0.015235389582812786,0.06716001033782959
120,0.01641414873301983,0.011285124346613884,0.010395592078566551,0.0016279882984235883,0.009736014530062675,0.04945886880159378
150,0.01283210888504982,0.011300191283226013,0.007449510972946882,0.0017929482273757458,0.007540584541857243,0.040915343910455704
180,0.01083405502140522,0.010722221806645393,0.006025499664247036,0.0018659329507499933,0.0064750234596431255,0.03592273220419884
210,0.00968245230615139,0.009836718440055847,0.005332178436219692,0.001830054447054863,0.005923510529100895,0.03260491415858269
240,0.008992928080260754,0.00812885444611311,0.0049391924403607845,0.0017387536354362965,0.005626857280731201,0.029426585882902145
270,0.008249148726463318,0.006762287579476833,0.004496622830629349,0.0015371725894510746,0.005908363964408636,0.026953596621751785
300,0.007535078562796116,0.005982168018817902,0.0040809884667396545,0.0014049932360649109,0.0059535386972129345,0.02495676651597023
330,0.006978417746722698,0.005263135768473148,0.0037504115607589483,0.0012928980868309736,0.005866792052984238,0.02315165475010872
360,0.006469552405178547,0.004642516374588013,0.0034434148110449314,0.001176448306068778,0.005778561811894178,0.021510494872927666
390,0.005989080294966698,0.0041127316653728485,0.003150296863168478,0.0010688069742172956,0.005629533901810646,0.019950449466705322
420,0.005530436523258686,0.0036318046040832996,0.002868184819817543,0.0009628512198105454,0.005403013899922371,0.018396291881799698
450,0.005081182345747948,0.0031685102730989456,0.0025900364853441715,0.0008568853372707963,0.0051360297948122025,0.016832644119858742
480,0.004635203164070845,0.002716192975640297,0.00231340155005455,0.000753253058064729,0.004857339430600405,0.015275390818715096
510,0.004195564426481724,0.0022825575433671474,0.002041970379650593,0.0006552973063662648,0.004581070505082607,0.013756460510194302
540,0.003770842682570219,0.0018821096746250987,0.0017830980941653252,0.0005669216625392437,0.004313536919653416,0.012316509149968624
570,0.0033719728235155344,0.0015303372638300061,0.0015452541410923004,0.0004908495466224849,0.004055699333548546,0.01099411305040121
600,0.003008691594004631,0.0012376061640679836,0.0013352867681533098,0.0004274314269423485,0.0038030233699828386,0.009812039323151112
630,0.0026862733066082,0.0010054238373413682,0.0011560634011402726,0.00037429871736094356,0.003547499654814601,0.008769558742642403
660,0.002404371276497841,0.0008264209609478712,0.001005642581731081,0.00032802537316456437,0.003283470869064331,0.007847931236028671
690,0.0021584362257272005,0.000688512867782265,0.0008787396945990622,0.0002857455110643059,0.003012643661350012,0.007024077698588371
720,0.0019425222417339683,0.0005796279874630272,0.000769356731325388,0.00024609616957604885,0.0027431678026914597,0.006280770990997553
750,0.0017515812069177628,0.0004905015812255442,0.0006729263695888221,0.0002089661284117028,0.0024842903949320316,0.00560826575383544
780,0.001582265249453485,0.000415178423281759,0.0005869357264600694,0.00017484549607615918,0.0022415556013584137,0.005000780336558819
810,0.0014326618984341621,0.00035031797597184777,0.0005104769952595234,0.00014430127339437604,0.0020158295519649982,0.004453587345778942
840,0.0013014039723202586,0.0002948633045889437,0.0004435716546140611,0.00011778845509979874,0.001810442190617323,0.0039680697955191135
870,0.001186962123028934,0.00025044954963959754,0.00038642107392661273,9.576600859872997e-05,0.0016428243834525347,0.0035624231677502394
900,0.0010875127045437694,0.0002192457322962582,0.00033836494549177587,7.83005598350428e-05,0.0015232660807669163,0.003246690146625042
930,0.0010011758422479033,0.00019847076328005642,0.00029790913686156273,6.49460416752845e-05,0.0014351449208334088,0.0029976465739309788
960,0.0009257184574380517,0.0001832431007642299,0.00026423021336086094,5.499799590324983e-05,0.0013657064409926534,0.00279389601200819
990,0.0008597138803452253,0.0001714373502181843,0.00023668156063649803,4.7640976845286787e-05,0.001308354316279292,0.0026238281279802322
1020,0.0008022085530683398,0.00016220477118622512,0.00021434517111629248,4.216012166580185e-05,0.001258184900507331,0.0024791033938527107
1050,0.0007518810452893376,0.00015492859529331326,0.00019615853670984507,3.79682460334152e-05,0.0012123673222959042,0.002353303600102663
1080,0.00070743024116382,0.00014911538164597005,0.00018115878629032522,3.465736153884791e-05,0.0011692726984620094,0.0022416342981159687
1110,0.0006677800556644797,0.00014438788639381528,0.00016857334412634373,3.19549253617879e-05,0.001127918716520071,0.0021406151354312897
1140,0.0006320825777947903,0.00014045437274035066,0.00015781754336785525,2.9670751246158034e-05,0.001087733544409275,0.0020477587822824717
1170,0.0005996620748192072,0.0001371094840578735,0.00014844250108581036,2.7678965125232935e-05,0.0010484284721314907,0.001961321569979191
1200,0.0005699972971342504,0.0001341899042017758,0.00014011029270477593,2.5902407287503593e-05,0.001009883126243949,0.0018800830002874136
1230,0.0005426636198535562,0.00013158362708054483,0.00013258523540571332,2.428991865599528e-05,0.0009720749221742153,0.0018031974323093891
1260,0.0005173403769731522,0.00012920329754706472,0.00012568928650580347,2.280060652992688e-05,0.0009350451873615384,0.0017300788313150406
1290,0.0004937606863677502,0.00012698816135525703,0.0001192981144413352,2.1416473828139715e-05,0.0008988546906039119,0.0016603181138634682
1320,0.0004717116244137287,0.00012488967331591994,0.00011332456051604822,2.0120874978601933e-05,0.0008635825361125171,0.001593629247508943
